Lawful;-88.06123,32.24353,76.46321
Lawful;-82.63619,31.69317,60.67245
Lawful;-90.30441,31.42585,52.55365
Lawful;-70.75587,31.16329,49.76385
Follower;-68.34535,32.00712,70.4302
Follower;-110.4358,31.91874,70.18731
Lawful;-71.85998,31.68082,65.56193
Lawful;-108.2561,30.98435,44.07413
Lawful;-80.54038,31.84161,72.1265
Follower;-108.8372,31.13383,48.18211
Lawful;-110.5014,32.19445,74.39623
Lawful;-92.50715,31.4979,57.38513
Lawful;-103.7637,32.96371,89.79347
Lawful;-73.2555,31.61221,58.26184
Lawful;-73.70986,31.91457,71.02
Lawful;-95.69331,31.6656,61.59015
Follower;-97.42215,31.23349,48.46582
Follower;-70.60896,30.86769,35.79122
Lawful;-74.03269,31.73362,62.8776
Lawful;-73.84706,31.20028,44.04277
Lawful;-105.5234,31.16026,48.18628
Lawful;-102.4296,31.56156,59.06144
Lawful;-105.1556,33.48832,103.1171
Lawful;-86.34424,32.41016,81.12534
Follower;-82.21759,32.27087,78.67583
Follower;-79.21857,31.6173,58.98821
Follower;-98.32778,31.72953,63.66523
Lawful;-62.08017,31.72249,63.24255
Lawful;-79.59354,32.65438,93.09354
Lawful;-84.36259,31.27205,46.82666
Follower;-84.93766,32.332,78.82212
Follower;-75.38759,32.60284,92.96397
Lawful;-104.9324,31.68942,64.45461
Lawful;-53.98236,31.52382,69.18522
Follower;-84.99466,31.86885,65.98604
Follower;-77.58176,31.47238,56.29431
Lawful;-104.2165,31.47901,57.03936
Lawful;-64.09248,31.70723,58.71511
Lawful;-61.30965,31.75387,72.72993
Lawful;-68.35262,31.54697,56.60337
Follower;-94.56503,31.50107,55.64078
Lawful;-72.79984,31.98865,68.46917
Lawful;-78.43972,31.94164,74.13518
Lawful;-66.15,32.11725,83.25
Follower;-100.788,32.87871,88.79146
Lawful;-96.86362,32.50061,78.30323
Follower;-87.91834,32.48957,83.31721
Lawful;-96.57557,31.42462,53.8433
Lawful;-65.72485,32.06107,69.77502
Follower;-81.48341,32.11129,75.99627
Lawful;-77.54001,32.5672,91.35001
Lawful;-83.52412,31.83694,68.24987
Lawful;-93.3942,31.41892,53.00533
Lawful;-73.45436,32.6432,94.84565
Lawful;-81.82087,31.63316,63.32201
Follower;-105.3921,32.81642,81.65736
Lawful;-107.0536,32.55903,78.51385
Lawful;-93.05475,32.59426,83.07992
Lawful;-97.2905,32.8199,89.55005
Lawful;-104.284,31.61555,61.02282
Lawful;-105.5058,31.84749,67.08705
Lawful;-65.78361,31.11451,48.0002
Lawful;-94.47923,32.74429,88.80349
Lawful;-79.14854,32.16586,77.37009
Follower;-100.0107,31.53792,57.86288
Lawful;-75.94825,31.60582,58.4388
Lawful;-94.01434,32.66746,85.60212
Follower;-92.42496,32.52598,80.45592
Lawful;-87.2952,31.84291,70.56602
Follower;-52.29715,31.4422,66.95286
Lawful;-76.65601,31.62185,63.52089
Lawful;-69.29255,32.41413,88.4506
Lawful;-47.57478,31.20398,60.09098
Follower;-86.73112,31.47356,57.29365
Lawful;-97.97678,31.33516,51.53848
Follower;-76.55193,31.25801,47.39278
Lawful;-87.84872,31.75352,62.41124
Lawful;-100.7337,31.61588,61.16122
Lawful;-39.78467,30.83143,47.38494
Follower;-68.50413,32.26437,85.89839
Lawful;-97.80466,32.64887,80.84126
Lawful;-104.4911,32.89169,85.60648
Lawful;-59.41321,31.6762,62.54104
Follower;-79.11349,31.92586,66.99261
Lawful;-83.25569,32.3451,81.16718
Lawful;2.595264,28.84927,10.00473
Lawful;-91.5907,31.59481,59.92095
Lawful;-88.3539,31.43395,54.42049
Follower;-79.71016,31.76677,61.63871
Follower;-94.8167,31.53258,58.82092
Follower;-102.643,31.30436,51.62936
Lawful;-81.70531,31.86424,66.23975
Lawful;-96.6548,32.73551,86.1614
Lawful;-75.46709,31.93766,68.97145
Follower;-102.6192,32.71853,80.26204
Follower;-58.35085,31.85427,68.70177
Lawful;-102.5864,31.68015,63.12224
Lawful;-100.2016,32.72624,82.09512
Lawful;-84.30128,31.36504,49.95897
Follower;-80.92863,31.85722,68.99301
Lawful;-102.8779,32.80191,82.98218
Lawful;-70.82507,31.71919,63.04792
Lawful;-20.05979,29.9102,32.65928
Lawful;-73.61123,31.2187,46.73239
Lawful;-88.3604,32.41569,79.33051
Lawful;-95.06581,31.31888,50.4502
Lawful;-88.89117,31.60988,59.89409
Lawful;-61.54576,31.57251,57.78303
Lawful;-98.51468,32.73429,84.20341
Lawful;-78.11562,31.8863,69.50048
Lawful;-90.58342,32.56422,84.16665
Lawful;-98.87383,31.45663,55.25948
Lawful;-81.71891,31.33619,50.74668
Lawful;-76.46729,31.83595,66.46637
Lawful;-76.35675,31.86326,71.548
Lawful;-72.31876,31.76353,60.79157
Lawful;-106.073,31.25187,50.82817
Follower;-80.43822,31.30968,48.19684
Lawful;-102.4648,31.4211,54.98561
Lawful;-66.61824,31.80899,62.58286
Lawful;-70.55765,31.62342,58.16803
Follower;-73.35001,32.5672,90.9
Follower;-69.20325,31.78821,60.8873
Lawful;-87.31306,31.8025,67.36816
Lawful;-68.37651,31.82193,67.06777
Lawful;-92.08044,31.34305,50.52189
Lawful;-77.12387,31.73815,60.86451
Lawful;-104.7573,31.34673,53.30804
Lawful;-106.4212,32.10791,71.41219
Lawful;-102.9153,31.20939,48.94484
Follower;-89.95282,32.49591,81.5423
Lawful;-64.14516,31.85449,61.47945
Follower;-100.3054,31.27129,50.17386
Lawful;-90.96379,31.46952,55.17099
